id,name,price,image,description,published_date,category_id
1,PHIN ĐEN ĐÁ,29000,images/products/HLC_New_logo_5.1_Products__PHIN_DEN_DA.jpg,"<p><span style=""color:hsl(240, 75%, 60%);""><strong>Dành cho những tín đồ cà phê đích thực!&nbsp;</strong></span></p><p>Hương vị cà phê truyền thống được phối trộn độc đáo tại <span class=""text-big"" style=""color:hsl(0, 75%, 60%);""><strong>CoffeeShop</strong></span>. Cà phê đậm đà pha hoàn toàn từ Phin, cho thêm 1 thìa đường, một ít đá viên mát lạnh, tạo nên <span class=""text-big""><strong>Phin Đen Đá</strong></span> mang vị cà phê đậm đà chất Phin.</p>",2024-12-02 15:05:43,1
2,MOCHA MACCHIATO,69000,images/products/HLC_New_logo_5.1_Products__MOCHA.jpg,"Một thức uống yêu thích được kết hợp bởi giữa sốt sô cô la ngọt ngào, sữa tươi và đặc biệt là cà phê espresso đậm đà mang thương hiệu Highlands Coffee. Bạn có thể tùy thích lựa chọn uống nóng hoặc dùng chung với đá.",2024-12-02 15:05:43.066442,1
3,LATTE,65000,images/products/HLC_New_logo_5.1_Products__LATTE_1.jpg,"Ly cà phê sữa ngọt ngào đến khó quên! Với một chút nhẹ nhàng hơn so với Cappuccino, Latte của chúng tôi bắt đầu với cà phê espresso, sau đó thêm sữa tươi và bọt sữa một cách đầy nghệ thuật. Bạn có thể tùy thích lựa chọn uống nóng hoặc dùng chung với đá.",2024-12-02 15:05:43.066442,1
4,CAPPUCCINO,65000,images/products/HLC_New_logo_5.1_Products__CAPPUCINO.jpg,"Ly cà phê sữa đậm đà thời thượng! Một chút đậm đà hơn so với Latte, Cappuccino của chúng tôi bắt đầu với cà phê espresso, sau đó thêm một lượng tương đương giữa sữa tươi và bọt sữa cho thật hấp dẫn. Bạn có thể tùy thích lựa chọn uống nóng hoặc dùng chung với đá.",2024-12-02 15:05:43.066442,1
5,AMERICANO,45000,images/products/HLC_New_logo_5.1_Products__AMERICANO_NONG.jpg,Americano tại Highlands Coffee là sự kết hợp giữa cà phê espresso thêm vào nước đun sôi. Bạn có thể tùy thích lựa chọn uống nóng hoặc dùng chung với đá.,2024-12-02 15:05:43.066442,1
6,ESPRESSO,45000,images/products/HLC_New_logo_5.1_Products__EXPRESSO.jpg,Đích thực là ly cà phê espresso ngon đậm đà! Được chiết xuất một cách hoàn hảo từ loại cà phê rang được phối trộn độc đáo từ những hạt cà phê Robusta và Arabica chất lượng hảo hạng.,2024-12-02 15:05:43.066442,1
7,PHIN SỮA ĐÁ,29000,images/products/HLC_New_logo_5.1_Products__PHIN_SUADA.jpg,"Hương vị cà phê Việt Nam đích thực! Từng hạt cà phê hảo hạng được chọn bằng tay, phối trộn độc đáo giữa hạt Robusta từ cao nguyên Việt Nam, thêm Arabica thơm lừng. Cà phê được pha từ Phin truyền thống, hoà cùng sữa đặc sánh và thêm vào chút đá tạo nên ly Phin Sữa Đá – Đậm Đà Chất Phin.",2024-12-02 15:05:43.066442,1
8,PHIN ĐEN NÓNG,29000,images/products/HLC_PHIN_DEN_NONG.jpg,"Dành cho những tín đồ cà phê đích thực! Hương vị cà phê truyền thống được phối trộn độc đáo tại Highlands. Cà phê đậm đà pha từ Phin, cho thêm 1 thìa đường, mang đến vị cà phê đậm đà chất Phin.",2024-12-02 15:05:43.066442,1
9,PHIN SỮA NÓNG,29000,images/products/HLC__PHIN_SUA_NONG.jpg,"Hương vị cà phê Việt Nam đích thực! Từng hạt cà phê hảo hạng được chọn bằng tay, phối trộn độc đáo giữa hạt Robusta từ cao nguyên Việt Nam, thêm Arabica thơm lừng. Kết hợp với nước sôi từng giọt cà phê được chiết xuất từ Phin truyền thống, hoà cùng sữa đặc sánh tạo nên ly Phin Sữa Nóng – Đậm đà chất Phin.",2024-12-02 15:05:43.066442,1
10,PHINDI CASSIA,55000,images/products/Phindi_Cassia_Highlands_products_Image1.jpg,"Với chất phin êm ái, hương vị cà phê Việt Nam hiện đại kết hợp cùng hương quế nhẹ nhàng và thạch cà phê hấp dẫn.",2024-12-02 15:05:43.066442,1
11,PHINDI CHOCO,45000,images/products/HLC_New_logo_5.1_Products__PHINDI_CHOCO.jpg,"PhinDi Choco - Cà phê Phin thế hệ mới với chất Phin êm hơn, kết hợp cùng Choco ngọt tan mang đến hương vị mới lạ, không thể hấp dẫn hơn!",2024-12-02 15:05:43.066442,1
12,PHINDI HẠNH NHÂN,45000,images/products/HLC_New_logo_5.1_Products__PHINDI_HANH_NHAN.jpg,"PhinDi Hạnh Nhân - Cà phê Phin thế hệ mới với chất Phin êm hơn, kết hợp cùng Hạnh nhân thơm bùi mang đến hương vị mới lạ, không thể hấp dẫn hơn!",2024-12-02 15:05:43.066442,1
13,PHINDI KEM SỮA,45000,images/products/HLC_New_logo_5.1_Products__PHINDI_KEM_SUA.jpg,"PhinDi Kem Sữa - Cà phê Phin thế hệ mới với chất Phin êm hơn, kết hợp cùng Kem Sữa béo ngậy mang đến hương vị mới lạ, không thể hấp dẫn hơn!",2024-12-02 15:05:43.066442,1
